"ID","OWNERID","ISDELETED","NAME","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","CATEGORY_VOD__C","LANGUAGE_VOD__C","TEXT_VOD__C","EXTERNAL_ID_VOD__C","ACTIVE_VOD__C","DESCRIPTION_VOD__C","TYPE_VOD__C"
"a0ZU0000000LkorMAC","005U0000000XLdfIAG","false","Enter Location","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Enter location here.","Callplan-Enter Location-en_US","true","String used by application. Default is: Enter location here.","Label_vod"
"a0ZU0000000LkosMAC","005U0000000XLdfIAG","false","My Calls","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","My Schedule","Callplan-My Calls-en_US","true","String used by application. Default is: My Schedule","Label_vod"
"a0ZU0000000LkotMAC","005U0000000XLdfIAG","false","MyMaps","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","My Maps","Callplan-MyMaps-en_US","true","String used by application. Default is: My Maps","Label_vod"
"a0ZU0000000LkouMAC","005U0000000XLdfIAG","false","Planned Calls","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Planned Activities","Callplan-Planned Calls-en_US","true","String used by application. Default is: Planned Activities","Label_vod"
"a0ZU0000000LkovMAC","005U0000000XLdfIAG","false","Refresh","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Refresh","Callplan-Refresh-en_US","true","String used by application. Default is: Refresh","Label_vod"
"a0ZU0000000LkowMAC","005U0000000XLdfIAG","false","Schedule","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Schedule an Activity","Callplan-Schedule-en_US","true","String used by application. Default is: Schedule an Activity","Label_vod"
"a0ZU0000000LkoxMAC","005U0000000XLdfIAG","false","Scheduling","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Scheduling","Callplan-Scheduling-en_US","true","String used by application. Default is: Scheduling","Label_vod"
"a0ZU0000000LkoyMAC","005U0000000XLdfIAG","false","SCHED_NEW_ACT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Schedule a new activity","Callplan-SCHED_NEW_ACT-en_US","true","String used by application. Default is: Schedule a new activity","Label_vod"
"a0ZU0000000LkozMAC","005U0000000XLdfIAG","false","Search","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","Go!","Callplan-Search-en_US","true","String used by application. Default is: Go!","Label_vod"
"a0ZU0000000Lkp0MAC","005U0000000XLdfIAG","false","This Week","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","Callplan","en_US","This Week","Callplan-This Week-en_US","true","String used by application. Default is: This Week","Label_vod"
"a0ZU0000000Lkp1MAC","005U0000000XLdfIAG","false","ADDS_NOT_MAPPED","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","addresses could not be mapped","CallPlanMap-ADDS_NOT_MAPPED-en_US","true","String used by application. Default is: addresses could not be mapped","Label_vod"
"a0ZU0000000Lkp2MAC","005U0000000XLdfIAG","false","ADD_NOT_MAPPED","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","address could not be mapped","CallPlanMap-ADD_NOT_MAPPED-en_US","true","String used by application. Default is: address could not be mapped","Label_vod"
"a0ZU0000000Lkp3MAC","005U0000000XLdfIAG","false","DETAIL_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Details","CallPlanMap-DETAIL_WORD-en_US","true","String used by application. Default is: Details","Label_vod"
"a0ZU0000000Lkp4MAC","005U0000000XLdfIAG","false","ERRORS_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Errors","CallPlanMap-ERRORS_WORD-en_US","true","String used by application. Default is: Errors","Label_vod"
"a0ZU0000000Lkp5MAC","005U0000000XLdfIAG","false","ERROR_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Error","CallPlanMap-ERROR_WORD-en_US","true","String used by application. Default is: Error","Label_vod"
"a0ZU0000000Lkp6MAC","005U0000000XLdfIAG","false","FROM_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","From","CallPlanMap-FROM_WORD-en_US","true","String used by application. Default is: From","Label_vod"
"a0ZU0000000Lkp7MAC","005U0000000XLdfIAG","false","GET_DIR_MULTI_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Get weekly directions","CallPlanMap-GET_DIR_MULTI_WORD-en_US","true","String used by application. Default is: Get weekly directions","Label_vod"
"a0ZU0000000Lkp8MAC","005U0000000XLdfIAG","false","GET_DIR_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Get directions","CallPlanMap-GET_DIR_WORD-en_US","true","String used by application. Default is: Get directions","Label_vod"
"a0ZU0000000Lkp9MAC","005U0000000XLdfIAG","false","HIDE_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Hide","CallPlanMap-HIDE_WORD-en_US","true","String used by application. Default is: Hide","Label_vod"
"a0ZU0000000LkpAMAS","005U0000000XLdfIAG","false","MUST_ENTER_FROM","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","You must enter an ending address.","CallPlanMap-MUST_ENTER_FROM-en_US","true","String used by application. Default is: You must enter an ending address.","Label_vod"
"a0ZU0000000LkpBMAS","005U0000000XLdfIAG","false","MUST_ENTER_TO","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","You must enter a starting address.","CallPlanMap-MUST_ENTER_TO-en_US","true","String used by application. Default is: You must enter a starting address.","Label_vod"
"a0ZU0000000LkpCMAS","005U0000000XLdfIAG","false","MUST_ONE_DAY","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","You must select at least 1 day.","CallPlanMap-MUST_ONE_DAY-en_US","true","String used by application. Default is: You must select at least 1 day.","Label_vod"
"a0ZU0000000LkpDMAS","005U0000000XLdfIAG","false","NOT_ENOUGH_POINTS","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Not enough points to plot a route.","CallPlanMap-NOT_ENOUGH_POINTS-en_US","true","String used by application. Default is: Not enough points to plot a route.","Label_vod"
"a0ZU0000000LkpEMAS","005U0000000XLdfIAG","false","R_U_SURE_CANCEL","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Are you sure you wish to cancel this call?","CallPlanMap-R_U_SURE_CANCEL-en_US","true","String used by application. Default is: Are you sure you wish to cancel this call?","Label_vod"
"a0ZU0000000LkpFMAS","005U0000000XLdfIAG","false","SHOW_ACCOUNTS_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Other Accounts","CallPlanMap-SHOW_ACCOUNTS_WORD-en_US","true","String used by application. Default is: Other Accounts","Label_vod"
"a0ZU0000000LkpGMAS","005U0000000XLdfIAG","false","SHOW_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","Show","CallPlanMap-SHOW_WORD-en_US","true","String used by application. Default is: Show","Label_vod"
"a0ZU0000000LkpHMAS","005U0000000XLdfIAG","false","TO_WORD","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallPlanMap","en_US","To","CallPlanMap-TO_WORD-en_US","true","String used by application. Default is: To","Label_vod"
"a0ZU0000000LkpIMAS","005U0000000XLdfIAG","false","ADD_ALL","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Add All...","CallReport-ADD_ALL-en_US","true","String used by application. Default is: Add All...","Label_vod"
"a0ZU0000000LkpJMAS","005U0000000XLdfIAG","false","ADD_EXPENSE_LINE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Add Line","CallReport-ADD_EXPENSE_LINE-en_US","true","String used by application. Default is: Add Line","Label_vod"
"a0ZU0000000LkpKMAS","005U0000000XLdfIAG","false","ADD_FOLLOWUP_LINE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Add Line","CallReport-ADD_FOLLOWUP_LINE-en_US","true","String used by application. Default is: Add Line","Label_vod"
"a0ZU0000000LkpLMAS","005U0000000XLdfIAG","false","ADD_KEYMESSAGE_LINE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Add Line","CallReport-ADD_KEYMESSAGE_LINE-en_US","true","String used by application. Default is: Add Line","Label_vod"
"a0ZU0000000LkpMMAS","005U0000000XLdfIAG","false","DELETE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Delete","CallReport-DELETE-en_US","true","String used by application. Default is: Delete","Label_vod"
"a0ZU0000000LkpNMAS","005U0000000XLdfIAG","false","EXPENSE_AMOUNT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Amount","CallReport-EXPENSE_AMOUNT-en_US","true","String used by application. Default is: Amount","Label_vod"
"a0ZU0000000LkpOMAS","005U0000000XLdfIAG","false","EXPENSE_NAME","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Name","CallReport-EXPENSE_NAME-en_US","true","String used by application. Default is: Name","Label_vod"
"a0ZU0000000LkpPMAS","005U0000000XLdfIAG","false","EXPENSE_NOTE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Note","CallReport-EXPENSE_NOTE-en_US","true","String used by application. Default is: Note","Label_vod"
"a0ZU0000000LkpQMAS","005U0000000XLdfIAG","false","EXPENSE_TYPE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Type","CallReport-EXPENSE_TYPE-en_US","true","String used by application. Default is: Type","Label_vod"
"a0ZU0000000LkpRMAS","005U0000000XLdfIAG","false","FIRST_NAME","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","First Name","CallReport-FIRST_NAME-en_US","true","String used by application. Default is: First Name","Label_vod"
"a0ZU0000000LkpSMAS","005U0000000XLdfIAG","false","FOLLOWUP_ASSIGNEDTO","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Assigned To","CallReport-FOLLOWUP_ASSIGNEDTO-en_US","true","String used by application. Default is: Assigned To","Label_vod"
"a0ZU0000000LkpTMAS","005U0000000XLdfIAG","false","FOLLOWUP_COMMENTS","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Comments","CallReport-FOLLOWUP_COMMENTS-en_US","true","String used by application. Default is: Comments","Label_vod"
"a0ZU0000000LkpUMAS","005U0000000XLdfIAG","false","FOLLOWUP_DATE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Date","CallReport-FOLLOWUP_DATE-en_US","true","String used by application. Default is: Date","Label_vod"
"a0ZU0000000LkpVMAS","005U0000000XLdfIAG","false","FOLLOWUP_NAME","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Name","CallReport-FOLLOWUP_NAME-en_US","true","String used by application. Default is: Name","Label_vod"
"a0ZU0000000LkpWMAS","005U0000000XLdfIAG","false","FOLLOWUP_SUBJECT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Subject","CallReport-FOLLOWUP_SUBJECT-en_US","true","String used by application. Default is: Subject","Label_vod"
"a0ZU0000000LkpXMAS","005U0000000XLdfIAG","false","INIT_ERROR_1","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Account cannot be determined.  Verify Account Plan is active.","CallReport-INIT_ERROR_1-en_US","true","String used by application. Default is: Account cannot be determined.  Verify Account Plan is active.","Label_vod"
"a0ZU0000000LkpYMAS","005U0000000XLdfIAG","false","KEYMESSAGE_COMMENTS","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Comments","CallReport-KEYMESSAGE_COMMENTS-en_US","true","String used by application. Default is: Comments","Label_vod"
"a0ZU0000000LkpZMAS","005U0000000XLdfIAG","false","KEYMESSAGE_DESCRIPTION","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Description","CallReport-KEYMESSAGE_DESCRIPTION-en_US","true","String used by application. Default is: Description","Label_vod"
"a0ZU0000000LkpaMAC","005U0000000XLdfIAG","false","KEYMESSAGE_REACTION","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Reaction","CallReport-KEYMESSAGE_REACTION-en_US","true","String used by application. Default is: Reaction","Label_vod"
"a0ZU0000000LkpbMAC","005U0000000XLdfIAG","false","LAST_NAME","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Last Name","CallReport-LAST_NAME-en_US","true","String used by application. Default is: Last Name","Label_vod"
"a0ZU0000000LkpcMAC","005U0000000XLdfIAG","false","NEW_ACCOUNT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","New Account","CallReport-NEW_ACCOUNT-en_US","true","String used by application. Default is: New Account","Label_vod"
"a0ZU0000000LkpdMAC","005U0000000XLdfIAG","false","NEW_ADDR","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Add New Address","CallReport-NEW_ADDR-en_US","true","String used by application. Default is: Add New Address","Label_vod"
"a0ZU0000000LkpeMAC","005U0000000XLdfIAG","false","NEW_ATTENDEE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","New Attendee","CallReport-NEW_ATTENDEE-en_US","true","String used by application. Default is: New Attendee","Label_vod"
"a0ZU0000000LkpfMAC","005U0000000XLdfIAG","false","NEW_CONTACT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","New Contact","CallReport-NEW_CONTACT-en_US","true","String used by application. Default is: New Contact","Label_vod"
"a0ZU0000000LkpgMAC","005U0000000XLdfIAG","false","PRODDISC_ADD_SECTION","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Add Section","CallReport-PRODDISC_ADD_SECTION-en_US","true","String used by application. Default is: Add Section","Label_vod"
"a0ZU0000000LkphMAC","005U0000000XLdfIAG","false","PRODUCT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Product","CallReport-PRODUCT-en_US","true","String used by application. Default is: Product","Label_vod"
"a0ZU0000000LkpiMAC","005U0000000XLdfIAG","false","PROFESSIONAL","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Professional","CallReport-PROFESSIONAL-en_US","true","String used by application. Default is: Professional","Label_vod"
"a0ZU0000000LkpjMAC","005U0000000XLdfIAG","false","REMOVE_ALL","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Remove All...","CallReport-REMOVE_ALL-en_US","true","String used by application. Default is: Remove All...","Label_vod"
"a0ZU0000000LkpkMAC","005U0000000XLdfIAG","false","SAMPLE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Sample","CallReport-SAMPLE-en_US","true","String used by application. Default is: Sample","Label_vod"
"a0ZU0000000LkplMAC","005U0000000XLdfIAG","false","SAMPLES_ITEMS","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Items","CallReport-SAMPLES_ITEMS-en_US","true","String used by application. Default is: Items","Label_vod"
"a0ZU0000000LkpmMAC","005U0000000XLdfIAG","false","SAMPLES_LOT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Lot #","CallReport-SAMPLES_LOT-en_US","true","String used by application. Default is: Lot #","Label_vod"
"a0ZU0000000LkpnMAC","005U0000000XLdfIAG","false","SAMPLES_QUANTITY","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Qty","CallReport-SAMPLES_QUANTITY-en_US","true","String used by application. Default is: Qty","Label_vod"
"a0ZU0000000LkpoMAC","005U0000000XLdfIAG","false","SAVE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Save","CallReport-SAVE-en_US","true","String used by application. Default is: Save","Label_vod"
"a0ZU0000000LkppMAC","005U0000000XLdfIAG","false","SEARCH_ATTENDEE","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Search","CallReport-SEARCH_ATTENDEE-en_US","true","String used by application. Default is: Search","Label_vod"
"a0ZU0000000LkpqMAC","005U0000000XLdfIAG","false","SUBMIT","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Submit","CallReport-SUBMIT-en_US","true","String used by application. Default is: Submit","Label_vod"
"a0ZU0000000LkprMAC","005U0000000XLdfIAG","false","UNLOCK","2011-09-09T21:36:53.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","005U0000000XLdfIAG","2014-07-26T01:24:40.000Z","true","false","","","CallReport","en_US","Unlock","CallReport-UNLOCK-en_US","true","String used by application. Default is: Unlock","Label_vod"
